Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1,1,46,0,68,,,0,0,1,19757,0,0,1,1,2,1,13,1.65,,0,96.41513
1,1,88,0,20,0,1,1,0,1,19753,1,0,1,1,1,2,6,3.06,,1,78.5687
,1,122,1,40,0,,0,0,1,19599,1,0,1,1,0,1,6,3.12,,1,184.70391
,2,112,2,69,0,0,1,1,1,19434,0,0,2,2,2,1,6,4.27,67.2,1,246.09376
1,,42,,16,3,0,2,0,0,19564,2,0,1,2,2,0,30,1.41,,2,241.27139
2,1,92,1,42,0,0,0,0,0,18825,0,0,0,0,0,0,6,4.57,,0,140.79436
,1,110,2,63,0,1,2,0,1,19177,0,0,1,2,0,0,6,1.35,174.4,1,259.71566
5,5,130,2,15,,0,1,0,0,19729,1,0,0,1,2,2,30,2.47,78.0,2,452.49783
,,62,0,43,0,0,1,1,1,19034,1,0,1,1,0,1,6,2.02,37.2,1,60.23668
,1,88,1,52,0,0,0,1,1,19529,2,0,2,1,1,1,6,2.95,88.0,0,206.43183
1,1,147,2,66,2,0,1,0,1,18616,2,0,1,1,0,2,18,1.42,,2,404.10064
,,20,,25,,0,0,0,1,19595,1,0,1,2,0,1,6,2.43,,1,38.2602
,,95,,,0,0,1,0,1,18287,0,0,1,1,0,1,6,4.36,57.0,0,215.01675
1,1,,,,2,1,0,0,1,19603,3,0,2,0,0,1,18,2.31,,1,51.50734
1,1,38,2,,1,0,0,1,0,18716,2,0,2,1,2,0,13,2.9,39.0,0,177.82663
,1,65,2,57,,1,0,0,1,19715,0,0,1,1,2,1,6,4.26,64.0,1,158.26072
2,,89,0,59,1,0,2,1,1,19311,0,0,2,1,2,1,13,3.15,142.4,1,125.94835
1,,78,0,15,3,0,0,0,1,19491,2,0,1,1,1,1,30,2.73,76.0,1,120.0042
3,2,133,2,24,0,0,2,1,0,19561,1,0,2,0,2,0,6,3.25,,2,437.785
1,,53,0,29,1,0,0,1,1,19582,2,0,0,0,1,2,13,3.06,,2,140.10877
,2,77,0,43,0,1,1,1,1,18809,3,0,1,1,0,1,6,2.73,45.6,1,66.69446
,1,58,2,70,1,0,0,0,1,19394,0,0,1,1,1,1,13,2.54,,0,231.8549
1,1,25,2,12,0,1,1,1,1,19076,0,0,1,0,0,0,6,2.81,,1,80.99881
1,2,107,0,42,0,0,2,0,0,18293,2,0,1,0,1,2,6,2.39,,1,93.19452
,2,92,1,24,0,,2,1,0,19586,3,0,2,1,0,2,6,1.54,147.2,1,170.18799
,,104,,19,2,0,2,0,0,19404,2,0,2,1,0,1,18,1.29,164.8,2,178.2931
1,,22,1,,0,1,1,0,1,18727,0,0,1,2,1,2,6,2.95,,0,102.57766
3,2,139,1,51,0,1,2,1,1,19094,1,0,1,1,1,1,6,2.71,220.8,1,261.3923
2,,113,2,,,0,2,1,0,18298,3,0,0,1,2,1,18,3.52,180.8,0,322.41243
,1,114,0,,0,1,1,0,1,19764,1,0,1,0,1,1,6,1.75,67.2,2,140.81174
,,90,1,32,,1,0,1,0,18412,2,0,1,2,0,0,6,2.46,91.0,0,164.74893
1,1,43,,14,,1,2,1,0,18397,2,0,1,1,1,2,6,2.51,,1,97.84387
