Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
5.0,5.0,130.0,1,15.0,0,0,0,False,False,19729,3,False,0,1,2,2,30.0,2.47,78.0,2,452.49783
1.0,1.0,38.0,1,43.324884792626726,1,0,2,True,False,18716,1,False,2,1,2,0,13.0,2.9,39.0,1,177.82663
3.0,2.0,139.0,0,51.0,0,1,1,True,True,19094,3,False,1,1,1,1,6.0,2.71,220.8,0,261.3923
1.0,1.0,54.0,1,44.0,2,0,1,False,True,18993,3,False,2,1,0,2,18.0,2.12,84.8,2,355.11076
2.0,4.0,143.0,0,43.0,0,0,0,False,True,19093,3,False,1,1,2,2,6.0,2.35,85.8,2,297.08753
1.0,1.0,48.0,1,62.0,3,0,1,True,False,19358,2,False,1,1,0,0,30.0,3.22,80.0,1,261.60197
1.0,1.0,41.0,0,49.0,0,0,2,False,True,18759,3,False,2,1,0,1,6.0,3.03,41.0,1,76.49827
2.0,3.0,113.0,1,57.0,0,0,0,False,True,19132,1,False,2,1,1,2,6.0,2.01,67.8,1,294.29462
4.0,2.0,128.0,0,12.0,0,0,0,True,True,19302,1,False,1,2,2,0,6.0,1.67,78.0,1,251.00054
1.0,1.0,25.0,2,43.324884792626726,2,0,1,False,False,18931,2,False,1,2,1,1,18.0,4.32,38.4,1,74.8947
2.0,2.0,74.0,2,27.0,0,1,0,False,True,19212,2,False,1,0,1,1,6.0,3.67,44.4,2,128.40403
4.0,4.0,137.0,1,43.324884792626726,0,1,1,True,True,18662,3,False,1,0,2,2,6.0,2.41,219.2,1,441.05025
2.0,2.0,135.0,0,70.0,1,0,1,False,True,18480,3,False,2,2,2,1,13.0,2.64,217.6,2,215.79207
1.0,1.0,98.0,1,50.0,0,1,1,False,True,19607,0,False,2,2,1,2,6.0,2.03,158.4,2,432.81053
1.0,2.0,105.0,0,17.0,0,0,0,False,True,18595,2,False,1,2,1,2,6.0,4.67,63.0,2,346.10199
1.0,2.0,129.0,1,43.0,0,0,0,True,False,19347,3,False,1,2,1,0,6.0,2.88,77.4,0,198.68932
1.0,1.0,57.0,0,46.0,3,1,0,True,True,19744,2,False,2,2,1,1,30.0,4.31,33.0,1,327.22401
1.0,1.0,53.0,0,25.0,1,0,2,False,True,19687,1,False,0,2,0,2,13.0,2.78,52.0,1,174.59349
5.0,1.0,139.0,1,43.0,1,0,1,False,False,18298,3,False,1,0,0,1,13.0,2.49,219.2,2,402.41247
1.0,3.0,115.0,0,64.0,0,1,0,False,True,18669,2,False,2,0,1,2,6.0,3.96,69.0,1,193.494
2.0,2.0,106.0,1,52.0,0,0,1,True,False,18653,3,False,1,0,1,2,6.0,2.3,168.0,0,234.95163
1.0,1.0,30.0,0,63.0,0,0,2,True,True,18909,3,False,1,1,0,1,6.0,1.89,28.0,1,116.1301
5.0,1.0,147.0,0,43.324884792626726,1,0,2,True,False,19696,0,False,2,1,2,1,13.0,2.2,148.0,2,305.86283
1.0,1.0,146.0,0,43.324884792626726,3,1,1,False,True,18346,3,False,2,2,1,0,30.0,3.36,235.2,0,292.37802
1.0,1.0,31.0,0,70.0,0,0,0,True,False,18751,1,False,1,1,1,1,6.0,2.73,18.6,2,137.21808
2.0,2.0,59.0,0,48.0,2,1,1,False,False,18788,2,False,1,1,1,0,18.0,1.82,96.0,0,129.65361
2.0,2.0,82.0,1,60.0,0,0,0,False,True,18618,2,False,2,1,1,2,6.0,3.26,48.6,0,167.3017
1.0,1.0,67.0,0,43.324884792626726,0,0,2,False,True,19058,2,False,2,2,0,1,6.0,1.64,67.0,0,106.80933
2.0,1.0,146.0,1,10.0,0,0,2,False,False,18432,2,False,1,2,0,1,6.0,3.1,146.0,0,238.88205
3.0,3.0,124.0,1,32.0,0,0,1,False,True,18303,2,False,1,1,2,1,6.0,3.55,200.0,0,326.62529
1.0,3.0,113.0,0,47.0,1,1,0,False,True,19584,0,False,1,0,1,0,13.0,3.14,66.6,2,261.31109
3.0,2.0,116.0,0,43.324884792626726,1,1,2,False,False,18496,2,False,1,2,2,1,13.0,2.64,115.0,0,159.97369
2.0,1.0,81.0,0,-43.0,1,0,1,False,True,19208,2,False,2,2,0,1,13.0,4.65,129.6,1,242.03227
1.0,2.0,75.0,2,38.0,0,0,1,True,True,19209,1,False,2,0,1,0,6.0,1.69,118.4,1,125.2816
2.0,3.0,111.0,0,-32.0,0,0,0,True,True,18335,1,False,2,2,2,2,6.0,1.18,66.6,2,274.2626
2.0,5.0,145.0,2,60.0,0,0,0,False,True,19776,3,False,2,1,2,1,6.0,2.94,86.4,1,154.86189
2.0,3.0,114.0,1,48.0,0,0,0,True,False,18695,1,False,1,1,1,0,6.0,2.59,67.8,2,293.60374
1.0,2.0,66.0,1,44.0,2,1,2,True,True,19424,0,False,2,1,1,2,18.0,2.44,66.0,1,316.36422
1.0,1.0,29.0,2,60.0,0,0,2,True,False,18515,1,False,1,1,0,1,6.0,1.14,29.0,2,81.73613
3.0,2.0,149.0,0,22.0,2,1,0,False,False,18692,1,False,1,2,1,0,18.0,2.96,88.8,0,180.89184
1.0,1.0,42.0,0,40.0,0,1,1,False,True,18401,2,False,2,2,2,2,6.0,2.27,62.4,1,159.24677
1.0,1.0,32.0,0,54.0,3,1,1,False,False,18708,3,False,2,0,0,1,30.0,2.23,51.2,2,275.2972
2.0,2.0,116.0,2,31.0,0,0,1,True,False,19467,1,False,1,2,1,1,6.0,2.45,185.6,1,147.46079
1.0,2.0,101.0,0,37.0,0,1,0,False,True,18418,1,False,2,2,0,1,6.0,1.42,60.6,2,138.04173
2.0,2.0,63.0,0,33.0,0,0,0,False,False,19690,2,False,2,0,1,1,6.0,3.08,37.8,0,53.70713
2.0,2.0,103.0,2,51.0,0,0,1,False,True,19373,2,False,2,1,0,2,6.0,4.2,166.4,2,185.62137
1.0,2.0,76.0,2,61.0,1,1,2,False,True,18646,1,False,1,0,2,1,13.0,1.17,77.0,0,81.13964
1.0,2.0,142.0,1,48.0,0,0,0,False,False,18442,2,False,1,1,1,2,6.0,4.43,85.2,0,192.67956
2.0,1.0,124.0,0,25.0,0,0,1,False,True,19466,0,False,0,1,1,2,6.0,1.49,200.0,1,287.79891
1.0,1.0,56.0,2,43.324884792626726,0,0,0,True,True,18267,2,False,2,1,1,1,6.0,1.87,33.6,1,81.14139
1.0,2.0,107.0,0,33.0,0,1,2,True,True,19488,3,False,0,1,2,1,6.0,2.55,106.0,1,231.52059
2.0,2.0,101.0,0,46.0,0,0,1,False,True,19569,2,False,1,0,2,2,6.0,1.2,158.4,1,253.79374
2.0,3.0,107.0,1,20.0,0,1,2,False,False,18786,1,False,1,2,2,0,6.0,1.15,106.0,2,324.35022
1.0,1.0,88.0,1,-34.0,0,0,2,True,True,18998,3,False,1,0,2,0,6.0,3.44,89.0,1,269.543
